Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
t t,RUNNING,12-04-2023,19:12:06,00:44:08,7.34,170,10.0,15.0,06:01,04:00,484,16,84,,45,126,133,134,,,,168.0,57.0,202,55,52,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,100,0.0,00:00,0,0,,0.00,,,
,00:00:01,100,0.1,00:00,0,0,,0.00,,,
,00:00:02,100,0.3,199:04,0,0,,0.00,,,
,00:00:03,99,0.8,79:28,0,0,,0.00,,,
,00:00:04,99,1.5,41:09,0,0,,0.30,,,
,00:00:05,102,2.4,25:17,61,0,,0.80,,,
,00:00:06,104,5.1,11:45,71,0,,1.70,,,
,00:00:07,107,7.2,08:18,76,0,,3.70,,,
,00:00:08,109,8.4,07:07,81,0,,6.00,,,
,00:00:09,110,9.0,06:42,82,0,,8.30,,,
,00:00:10,111,9.1,06:35,83,0,,11.30,,,
,00:00:11,110,9.3,06:29,83,0,,13.70,,,
,00:00:12,108,9.5,06:20,82,0,,16.00,,,
,00:00:13,107,9.7,06:09,82,0,,19.10,,,
,00:00:14,106,10.0,06:02,83,0,,21.60,,,
,00:00:15,105,10.1,05:56,83,0,,24.80,,,
,00:00:16,104,10.3,05:51,83,0,,27.50,,,
,00:00:17,107,10.4,05:47,83,0,,30.10,,,
,00:00:18,109,10.5,05:43,83,0,,33.40,,,
,00:00:19,112,10.5,05:42,82,0,,36.10,,,
,00:00:20,114,10.5,05:42,82,0,,38.70,,,
,00:00:21,115,10.5,05:42,83,0,,42.10,,,
,00:00:22,116,10.5,05:43,83,0,,44.80,,,
,00:00:23,115,10.5,05:43,83,0,,47.50,,,
,00:00:24,115,10.5,05:43,83,0,,50.80,,,
,00:00:25,117,10.5,05:44,83,0,,53.50,,,
,00:00:26,118,10.4,05:45,83,0,,56.70,,,
,00:00:27,120,10.4,05:47,82,0,,59.40,,,
,00:00:28,121,10.3,05:49,83,0,,62.10,,,
,00:00:29,121,10.3,05:51,83,0,,65.40,,,
,00:00:30,121,10.2,05:53,83,0,,67.90,,,
,00:00:31,123,10.2,05:54,83,0,,70.60,,,
,00:00:32,125,10.1,05:56,83,0,,73.80,,,
,00:00:33,127,10.1,05:57,83,0,,76.30,,,
,00:00:34,129,10.0,05:59,82,0,,79.50,,,
,00:00:35,131,10.0,06:00,82,0,,82.10,,,
,00:00:36,132,10.0,06:01,82,0,,84.70,,,
,00:00:37,133,10.0,06:01,82,0,,87.70,,,
,00:00:38,135,9.9,06:02,82,0,,90.30,,,
,00:00:39,136,9.9,06:03,82,0,,92.90,,,
,00:00:40,137,9.9,06:05,82,0,,96.00,,,
,00:00:41,137,9.8,06:08,82,0,,98.40,,,
,00:00:42,138,9.7,06:12,82,0,,101.00,,,
,00:00:43,138,9.6,06:15,83,0,,104.10,,,
,00:00:44,138,9.6,06:17,82,0,,106.40,,,
,00:00:45,138,9.5,06:18,82,0,,109.50,,,
,00:00:46,138,9.5,06:17,82,0,,111.90,,,
