Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
t t,RUNNING,09-04-2023,19:58:45,00:46:26,7.48,167,9.7,12.9,06:13,04:39,494,18,83,,51,124,157,129,,,,168.0,57.0,202,55,52,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,108,0.0,00:00,0,0,,0.00,,,
,00:00:01,108,0.0,00:00,0,0,,0.00,,,
,00:00:02,108,0.0,00:00,0,0,,0.00,,,
,00:00:03,108,0.6,97:46,0,0,,0.00,,,
,00:00:04,108,0.6,97:46,0,0,,0.00,,,
,00:00:05,108,1.2,49:18,42,0,,0.40,,,
,00:00:06,109,4.1,14:46,63,0,,1.60,,,
,00:00:07,110,6.9,08:41,77,0,,3.50,,,
,00:00:08,111,8.7,06:53,79,0,,5.90,,,
,00:00:09,111,9.7,06:13,80,0,,8.90,,,
,00:00:10,112,10.0,05:59,80,0,,11.50,,,
,00:00:11,113,10.0,05:59,79,0,,14.20,,,
,00:00:12,111,9.9,06:05,79,0,,17.10,,,
,00:00:13,110,9.7,06:13,79,0,,19.60,,,
,00:00:14,109,9.6,06:16,79,0,,22.30,,,
,00:00:15,108,9.5,06:21,80,0,,25.00,,,
,00:00:16,107,9.4,06:25,80,0,,27.40,,,
,00:00:17,106,9.3,06:27,80,0,,30.40,,,
,00:00:18,105,9.3,06:27,80,0,,32.80,,,
,00:00:19,105,9.4,06:24,80,0,,35.20,,,
,00:00:20,108,9.5,06:20,80,0,,38.10,,,
,00:00:21,111,9.6,06:16,80,0,,40.60,,,
,00:00:22,114,9.7,06:13,80,0,,43.30,,,
,00:00:23,116,9.7,06:11,79,0,,46.20,,,
,00:00:24,118,9.7,06:12,80,0,,48.60,,,
,00:00:25,121,9.6,06:16,79,0,,51.30,,,
,00:00:26,122,9.3,06:26,78,0,,54.00,,,
,00:00:27,122,9.0,06:41,78,0,,56.30,,,
,00:00:28,123,8.6,07:00,77,0,,59.00,,,
,00:00:29,123,8.1,07:23,77,0,,61.00,,,
,00:00:30,123,0.0,00:00,77,0,,62.80,,,
,00:00:31,122,0.0,00:00,77,0,,62.80,,,
,00:00:32,122,7.1,08:27,77,0,,63.20,,,
,00:00:33,122,9.3,06:27,77,0,,63.30,,,
,00:00:34,122,11.7,05:08,77,0,,66.88,,,
,00:00:35,122,10.9,05:30,77,0,,70.47,,,
,00:00:36,122,10.1,05:56,78,0,,73.70,,,
,00:00:37,122,10.4,05:46,78,0,,76.30,,,
,00:00:38,122,10.2,05:53,78,0,,78.80,,,
,00:00:39,121,9.8,06:07,78,0,,81.00,,,
,00:00:40,121,10.0,06:00,79,0,,83.70,,,
,00:00:41,120,10.2,05:53,80,0,,87.28,,,
,00:00:42,121,9.9,06:04,79,0,,90.87,,,
,00:00:43,122,9.7,06:11,79,0,,94.45,,,
,00:00:44,123,10.0,06:00,79,0,,98.03,,,
,00:00:45,125,9.8,06:07,79,0,,101.62,,,
,00:00:46,126,10.2,05:53,79,0,,105.20,,,
,00:00:47,127,10.6,05:40,79,0,,108.78,,,
,00:00:48,128,10.6,05:40,79,0,,112.37,,,
,00:00:49,127,10.2,05:53,79,0,,115.95,,,
,00:00:50,128,10.1,05:56,78,0,,119.53,,,
,00:00:51,128,9.5,06:19,78,0,,123.10,,,
,00:00:52,128,8.9,06:44,78,0,,125.60,,,
,00:00:53,128,9.0,06:40,78,0,,128.00,,,
,00:00:54,127,8.9,06:44,78,0,,130.40,,,
,00:00:55,127,8.5,07:04,78,0,,132.50,,,
,00:00:56,127,8.8,06:49,78,0,,134.30,,,
,00:00:57,127,9.1,06:36,77,0,,136.40,,,
,00:00:58,126,8.8,06:49,77,0,,138.90,,,
,00:00:59,126,8.8,06:49,77,0,,141.30,,,
,00:01:00,126,9.1,06:36,77,0,,143.30,,,
,00:01:01,126,8.9,06:44,77,0,,145.70,,,
,00:01:02,126,8.4,07:09,77,0,,148.00,,,
,00:01:03,126,8.1,07:24,77,0,,149.70,,,
,00:01:04,126,8.1,07:24,77,0,,151.80,,,
,00:01:05,126,7.6,07:54,76,0,,153.80,,,
,00:01:06,126,7.1,08:27,76,0,,155.60,,,
,00:01:07,126,7.2,08:20,76,0,,157.10,,,
,00:01:08,126,7.6,07:54,76,0,,159.10,,,
,00:01:09,126,7.5,08:00,76,0,,161.50,,,
,00:01:10,126,7.8,07:42,76,0,,163.60,,,
,00:01:11,125,8.2,07:19,76,0,,165.80,,,
,00:01:12,126,8.3,07:14,76,0,,168.30,,,
,00:01:13,126,7.9,07:36,76,0,,170.70,,,
,00:01:14,126,8.0,07:30,76,0,,173.00,,,
,00:01:15,126,8.2,07:19,76,0,,175.70,,,
,00:01:16,126,7.8,07:42,76,0,,178.20,,,
,00:01:17,126,7.5,08:00,76,0,,180.40,,,
,00:01:18,126,7.8,07:42,76,0,,182.40,,,
,00:01:19,126,7.9,07:36,76,0,,184.70,,,
,00:01:20,126,7.8,07:42,76,0,,187.00,,,
