Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
t t,CYCLING,10-11-2018,13:41:00,02:15:14,57.11,150,25.3,56.0,02:22,01:04,1114,31,,,,240,538,525,,,,170.0,55.0,200,55,52,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,0,,,,,
,00:00:01,,,,,0,,,,,
,00:00:02,,,,,0,,,,,
,00:00:03,,,,,0,,,,,
,00:00:04,,,,,0,,,,,
,00:00:05,,,,,0,,,,,
,00:00:06,,,,,0,,,,,
,00:00:07,,,,,0,,,,,
,00:00:08,,,,,0,,,,,
,00:00:09,,,,,0,,,,,
,00:00:10,84,,,,0,,,,,
,00:00:11,84,,,,0,,,,,
,00:00:12,84,,,,0,,,,,
,00:00:13,84,,,,0,,,,,
,00:00:14,84,,,,0,,,,,
,00:00:15,84,,,,0,,,,,
,00:00:16,84,11.8,05:05,,0,,0.00,,,
,00:00:17,84,16.0,03:45,,0,,0.00,,,
,00:00:18,84,20.5,02:56,,0,,6.70,,,
,00:00:19,84,20.6,02:55,,0,,13.60,,,
,00:00:20,83,22.2,02:42,,0,,21.00,,,
,00:00:21,83,23.0,02:37,,0,,28.10,,,
,00:00:22,83,23.2,02:35,,0,,35.00,,,
,00:00:23,83,23.4,02:34,,0,,41.80,,,
,00:00:24,83,23.5,02:33,,0,,48.90,,,
,00:00:25,83,23.2,02:35,,0,,64.46,,,
,00:00:26,83,23.3,02:35,,0,,80.01,,,
,00:00:27,83,23.6,02:33,,0,,95.57,,,
,00:00:28,83,23.7,02:32,,0,,108.20,,,
,00:00:29,82,23.5,02:33,,0,,115.30,,,
,00:00:30,82,23.4,02:34,,0,,122.00,,,
,00:00:31,82,23.3,02:35,,0,,128.80,,,
,00:00:32,82,23.3,02:35,,0,,135.90,,,
,00:00:33,81,23.4,02:34,,0,,143.00,,,
,00:00:34,81,23.7,02:32,,0,,150.00,,,
,00:00:35,81,24.0,02:30,,0,,157.10,,,
