Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
t t,RUNNING,10-04-2023,16:45:55,00:45:20,7.48,168,9.9,13.6,06:04,04:25,485,17,83,,49,122,124,125,,,,168.0,57.0,202,55,52,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,105,0.0,00:00,0,0,,0.00,,,
,00:00:01,105,0.0,00:00,0,0,,0.00,,,
,00:00:02,105,0.0,00:00,0,0,,0.00,,,
,00:00:03,105,0.3,205:29,0,0,,0.00,,,
,00:00:04,105,0.9,68:02,42,0,,0.00,,,
,00:00:05,106,1.8,33:57,63,0,,0.40,,,
,00:00:06,105,4.7,12:38,73,0,,2.00,,,
,00:00:07,104,7.2,08:22,81,0,,3.30,,,
,00:00:08,103,8.6,06:59,82,0,,5.80,,,
,00:00:09,103,9.3,06:29,83,0,,9.00,,,
,00:00:10,102,9.5,06:17,83,0,,11.50,,,
,00:00:11,102,9.8,06:09,83,0,,14.10,,,
,00:00:12,104,9.9,06:05,83,0,,16.60,,,
,00:00:13,106,9.8,06:08,81,0,,19.70,,,
,00:00:14,108,9.7,06:10,81,0,,22.60,,,
,00:00:15,110,9.6,06:14,81,0,,25.30,,,
,00:00:16,111,9.5,06:18,81,0,,27.70,,,
,00:00:17,111,9.4,06:22,81,0,,30.50,,,
,00:00:18,110,9.4,06:24,81,0,,33.10,,,
,00:00:19,110,9.3,06:26,81,0,,35.50,,,
,00:00:20,109,9.3,06:27,81,0,,37.90,,,
,00:00:21,108,9.3,06:27,81,0,,40.80,,,
,00:00:22,111,9.2,06:30,81,0,,43.50,,,
,00:00:23,114,9.1,06:35,81,0,,46.00,,,
,00:00:24,115,9.0,06:42,81,0,,48.30,,,
,00:00:25,117,8.8,06:50,81,0,,50.90,,,
,00:00:26,118,8.6,06:58,84,0,,53.40,,,
,00:00:27,120,8.5,07:05,85,0,,55.50,,,
,00:00:28,121,8.5,07:05,85,0,,55.60,,,
,00:00:29,123,8.5,07:05,85,0,,57.90,,,
,00:00:30,124,8.6,06:58,85,0,,61.68,,,
,00:00:31,125,8.6,06:58,84,0,,64.70,,,
,00:00:32,126,8.9,06:43,84,0,,65.00,,,
,00:00:33,127,8.9,06:43,84,0,,67.70,,,
,00:00:34,127,9.0,06:38,81,0,,70.10,,,
,00:00:35,127,9.1,06:38,81,0,,72.50,,,
,00:00:36,127,9.0,06:39,81,0,,75.10,,,
,00:00:37,128,8.9,06:43,81,0,,77.60,,,
,00:00:38,128,8.8,06:49,80,0,,79.90,,,
,00:00:39,128,8.6,06:57,79,0,,82.20,,,
,00:00:40,128,8.5,07:06,78,0,,84.80,,,
,00:00:41,128,8.3,07:13,78,0,,86.90,,,
,00:00:42,128,8.2,07:19,78,0,,89.00,,,
,00:00:43,128,8.1,07:24,78,0,,91.60,,,
,00:00:44,128,8.0,07:29,78,0,,93.90,,,
,00:00:45,128,7.9,07:35,78,0,,96.20,,,
,00:00:46,129,7.8,07:44,78,0,,98.10,,,
,00:00:47,129,7.6,07:56,78,0,,100.30,,,
,00:00:48,129,7.4,08:08,78,0,,102.40,,,
,00:00:49,129,7.2,08:17,78,0,,104.30,,,
,00:00:50,130,7.2,08:23,78,0,,106.10,,,
,00:00:51,130,7.1,08:24,78,0,,108.30,,,
,00:00:52,131,7.2,08:17,78,0,,110.40,,,
,00:00:53,131,7.4,08:09,78,0,,112.50,,,
,00:00:54,132,7.5,08:01,79,0,,114.30,,,
,00:00:55,133,7.6,07:53,80,0,,116.60,,,
,00:00:56,133,7.7,07:45,80,0,,118.70,,,
,00:00:57,134,7.8,07:39,80,0,,120.80,,,
,00:00:58,134,7.9,07:33,80,0,,123.20,,,
,00:00:59,134,8.0,07:32,80,0,,125.40,,,
,00:01:00,135,0.0,00:00,80,0,,127.40,,,
,00:01:01,135,0.0,00:00,76,0,,127.60,,,
,00:01:02,136,5.5,10:55,74,0,,127.60,,,
,00:01:03,137,7.1,08:27,76,0,,128.50,,,
,00:01:04,138,8.7,06:54,77,0,,128.80,,,
,00:01:05,140,8.5,07:04,78,0,,131.40,,,
,00:01:06,142,7.8,07:42,78,0,,133.50,,,
,00:01:07,143,7.5,08:00,78,0,,135.70,,,
,00:01:08,145,7.6,07:54,78,0,,138.00,,,
,00:01:09,146,7.5,08:00,78,0,,140.60,,,
,00:01:10,146,7.6,07:54,77,0,,143.00,,,
,00:01:11,146,7.7,07:48,77,0,,145.30,,,
,00:01:12,146,7.8,07:42,77,0,,149.08,,,
,00:01:13,147,7.7,07:48,77,0,,152.86,,,
,00:01:14,147,7.9,07:36,78,0,,156.63,,,
,00:01:15,147,8.1,07:24,78,0,,160.41,,,
,00:01:16,147,8.1,07:24,78,0,,164.19,,,
,00:01:17,147,8.1,07:24,78,0,,167.97,,,
