Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
t t,CYCLING,28-03-2019,09:44:06,02:54:34,59.52,149,20.5,65.1,02:56,00:55,1477,34,,,,306,1089,889,,,,170.0,55.0,200,55,52,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,0,,,,,
,00:00:01,,,,,0,,,,,
,00:00:02,,,,,0,,,,,
,00:00:03,,,,,0,,,,,
,00:00:04,,,,,0,,,,,
,00:00:05,,,,,0,,,,,
,00:00:06,,,,,0,,,,,
,00:00:07,,,,,0,,,,,
,00:00:08,,,,,0,,,,,
,00:00:09,,,,,0,,,,,
,00:00:10,,,,,0,,,,,
,00:00:11,96,,,,0,,,,,
,00:00:12,96,,,,0,,,,,
,00:00:13,96,,,,0,,,,,
,00:00:14,95,25.2,02:23,,0,,0.00,,,
,00:00:15,94,31.6,01:54,,0,,9.00,,,
,00:00:16,94,31.9,01:53,,0,,18.00,,,
,00:00:17,93,32.1,01:52,,0,,27.00,,,
,00:00:18,92,32.2,01:52,,0,,36.10,,,
,00:00:19,91,32.2,01:52,,0,,45.00,,,
,00:00:20,91,32.1,01:52,,0,,54.20,,,
,00:00:21,90,32.0,01:53,,0,,63.50,,,
,00:00:22,89,31.6,01:54,,0,,81.58,,,
,00:00:23,89,31.2,01:55,,0,,99.67,,,
,00:00:24,88,30.8,01:57,,0,,117.75,,,
,00:00:25,88,30.7,01:57,,0,,135.83,,,
,00:00:26,88,30.5,01:58,,0,,149.10,,,
,00:00:27,88,30.4,01:58,,0,,158.10,,,
,00:00:28,89,30.4,01:58,,0,,166.90,,,
,00:00:29,89,30.3,01:59,,0,,175.70,,,
,00:00:30,90,30.3,01:59,,0,,184.30,,,
,00:00:31,90,30.2,01:59,,0,,192.90,,,
,00:00:32,91,30.1,02:00,,0,,201.30,,,
,00:00:33,92,30.0,02:00,,0,,210.10,,,
,00:00:34,92,30.0,02:00,,0,,218.70,,,
