Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
t t,RUNNING,17-04-2023,19:33:32,01:06:20,10.74,169,9.7,14.0,06:11,04:17,717,19,86,,48,181,173,196,,,,168.0,57.0,202,55,52,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,109,0.0,00:00,0,0,,0.00,,,
,00:00:01,109,0.1,00:00,0,0,,0.00,,,
,00:00:02,108,0.3,207:50,0,0,,0.00,,,
,00:00:03,107,0.7,80:21,0,0,,0.00,,,
,00:00:04,106,1.3,46:28,0,0,,0.30,,,
,00:00:05,105,1.8,33:21,0,0,,0.80,,,
,00:00:06,105,2.3,26:22,0,0,,1.30,,,
,00:00:07,106,2.7,22:08,0,0,,2.10,,,
,00:00:08,106,3.1,19:16,0,0,,2.80,,,
,00:00:09,107,3.5,16:56,23,0,,3.70,,,
,00:00:10,107,4.0,14:55,68,0,,4.90,,,
,00:00:11,109,5.7,10:28,76,0,,6.10,,,
,00:00:12,110,7.1,08:25,80,0,,7.80,,,
,00:00:13,110,7.9,07:36,83,0,,10.30,,,
,00:00:14,110,8.3,07:14,83,0,,12.50,,,
,00:00:15,110,8.6,06:59,83,0,,14.70,,,
,00:00:16,110,8.9,06:44,83,0,,17.40,,,
,00:00:17,111,9.2,06:32,83,0,,19.70,,,
,00:00:18,111,9.4,06:24,83,0,,22.70,,,
,00:00:19,112,9.5,06:19,83,0,,25.10,,,
,00:00:20,113,9.6,06:15,83,0,,27.50,,,
,00:00:21,114,9.7,06:12,82,0,,30.60,,,
,00:00:22,115,9.7,06:10,83,0,,33.10,,,
,00:00:23,117,9.7,06:10,83,0,,35.60,,,
,00:00:24,119,9.7,06:12,83,0,,38.70,,,
,00:00:25,120,9.5,06:18,83,0,,41.20,,,
,00:00:26,122,9.3,06:25,83,0,,43.50,,,
,00:00:27,123,9.2,06:33,83,0,,46.50,,,
,00:00:28,125,9.0,06:39,83,0,,48.80,,,
,00:00:29,126,8.9,06:43,83,0,,51.70,,,
,00:00:30,128,8.9,06:43,83,0,,53.90,,,
,00:00:31,130,9.1,06:37,83,0,,56.10,,,
,00:00:32,132,9.2,06:30,83,0,,59.10,,,
,00:00:33,135,9.4,06:22,83,0,,61.40,,,
,00:00:34,137,9.7,06:12,83,0,,63.90,,,
,00:00:35,139,9.9,06:02,83,0,,67.00,,,
,00:00:36,141,10.2,05:54,82,0,,69.60,,,
,00:00:37,142,10.3,05:48,83,0,,72.20,,,
,00:00:38,143,10.5,05:44,83,0,,75.50,,,
,00:00:39,142,10.6,05:41,83,0,,78.20,,,
,00:00:40,140,10.6,05:39,83,0,,81.60,,,
,00:00:41,138,10.6,05:38,83,0,,84.30,,,
,00:00:42,137,10.6,05:39,83,0,,87.00,,,
,00:00:43,139,10.6,05:40,83,0,,90.40,,,
